,2018-06-01,2018-06-02,2018-06-03,2018-06-04,2018-06-05,2018-06-06,2018-06-07,2018-06-08,2018-06-09,2018-06-10,2018-06-11,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-16,2018-06-17,2018-06-18,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25,2018-06-26,2018-06-27,2018-06-28,2018-06-29,2018-06-30
0,4.43,4.45,5.3,4.58,4.49,4.55,4.28,4.37,3.7,4.17,5.47,4.18,4.29,4.46,4.8,5.2,4.33,0.25,4.24,4.35,4.34,0.4,1.19,5.23,5.13,4.37,4.15,4.57,5.39,5.25
1,4.53,4.5,5.45,5.15,5.0,4.57,4.56,5.5,4.37,5.13,6.2,5.0,4.39,4.57,4.34,5.48,5.2,4.19,5.29,5.25,4.49,5.13,5.1,5.46,5.16,4.58,4.49,5.41,6.19,5.47
2,5.14,5.11,6.0,5.17,5.3,5.37,5.13,5.6,4.48,5.31,6.5,5.2,4.49,5.11,4.49,6.35,5.26,4.45,5.46,5.47,4.54,5.17,5.4,5.57,5.2,5.0,5.0,5.42,6.37,5.55
3,5.18,5.19,6.8,5.44,5.18,5.43,5.24,5.18,5.15,5.36,6.19,5.38,5.34,5.21,4.56,7.15,5.57,5.11,5.46,5.54,5.4,5.21,5.25,6.3,5.4,5.45,5.24,5.53,6.45,6.9
4,5.22,5.21,6.16,5.44,5.28,5.49,5.28,5.29,5.23,5.49,6.21,5.47,5.41,5.22,5.12,7.25,6.9,5.36,5.46,6.4,5.5,5.22,5.37,6.25,5.47,5.48,5.35,6.4,6.47,6.15
5,5.26,5.25,6.2,5.44,5.39,5.54,5.33,5.37,5.53,6.1,6.23,6.7,5.52,5.23,5.15,7.37,6.13,5.43,5.46,6.7,5.8,5.26,5.39,6.28,5.51,5.51,5.51,6.1,6.55,6.25
6,5.28,5.31,6.31,5.44,5.39,5.56,5.43,6.11,6.11,6.14,6.25,6.9,5.54,5.4,5.23,7.39,6.25,5.46,5.49,6.14,5.11,5.32,5.43,6.34,5.56,5.58,6.4,6.21,7.6,6.3
7,5.29,5.41,6.36,5.51,5.39,6.0,5.44,6.11,6.13,6.22,6.28,6.12,6.4,5.56,5.29,7.39,6.32,5.48,5.52,6.14,5.17,5.39,5.46,6.38,6.4,6.0,6.8,6.34,7.13,6.37
8,5.34,5.53,6.4,5.51,5.39,6.0,5.51,6.11,6.24,6.24,6.29,6.13,6.19,5.58,5.29,7.39,6.44,5.57,5.56,6.14,5.19,5.43,5.48,6.45,6.9,6.5,6.41,6.35,7.25,6.51
9,5.38,5.57,6.51,5.51,5.45,6.0,5.56,6.11,6.4,6.3,6.32,6.15,6.19,6.9,5.29,7.39,7.36,6.4,6.11,6.14,5.2,5.53,6.2,6.48,6.24,6.8,6.44,6.4,7.3,6.59
10,5.43,6.1,6.53,5.51,5.47,6.0,6.9,6.14,6.44,6.32,6.33,6.18,6.19,6.9,5.29,7.5,7.42,6.14,6.15,6.37,5.24,5.59,6.11,6.53,6.26,6.9,6.47,6.44,8.2,7.2
11,5.51,6.4,7.5,5.54,5.54,6.3,6.17,6.2,6.47,6.35,6.36,6.19,6.19,6.9,5.36,7.5,7.48,6.22,6.18,6.47,5.25,6.4,6.13,6.57,6.34,6.1,6.51,6.45,8.27,7.6
12,6.6,6.7,7.11,6.1,5.59,6.12,6.21,6.27,6.49,6.39,6.48,6.21,6.26,6.9,5.53,7.5,7.5,6.31,6.19,6.47,5.27,6.7,6.2,7.7,6.41,6.13,6.51,6.49,8.49,7.27
13,6.9,6.9,7.14,6.8,6.9,6.12,6.31,6.33,6.52,6.44,6.54,6.26,6.27,6.12,6.0,7.5,8.31,6.37,6.22,6.47,5.29,6.12,6.21,7.21,6.55,6.16,6.51,6.54,8.57,7.32
14,6.12,6.14,7.16,6.1,6.13,6.12,6.33,6.37,7.3,6.57,6.57,6.29,6.29,6.29,6.3,8.1,8.33,7.4,6.23,6.47,5.32,6.14,6.25,7.29,7.1,6.17,6.51,7.11,9.2,7.36
