Fecha,T. Media,T. Máx,T. Mín,V. media Viento,Rachas máx,Presión media,Lluvia
6/1/2018,33,39,17,10.1 km/h,29.6 km/h,1016.1 hPa,#¿NOMBRE?
6/2/2018,33,39,19,13.2 km/h,#¿NOMBRE?,1017.6 hPa,#¿NOMBRE?
6/3/2018,33,38,23,14.5 km/h,51.9 km/h,1018.6 hPa,#¿NOMBRE?
6/4/2018,29,37,18,14.4 km/h,55.6 km/h,1019.5 hPa,#¿NOMBRE?
6/5/2018,31,37,20,14.4 km/h,53.7 km/h,1018 hPa,#¿NOMBRE?
6/6/2018,32,37,23,7.5 km/h,#¿NOMBRE?,1016.1 hPa,#¿NOMBRE?
6/7/2018,30,35,20,10.2 km/h,#¿NOMBRE?,1017.5 hPa,#¿NOMBRE?
6/8/2018,31,36,22,11.1 km/h,#¿NOMBRE?,1018.6 hPa,#¿NOMBRE?
6/9/2018,28,33,22,10.9 km/h,#¿NOMBRE?,1019.6 hPa,#¿NOMBRE?
6/10/2018,29,34,22,13.3 km/h,#¿NOMBRE?,1016.8 hPa,#¿NOMBRE?
6/11/2018,31,37,18,13.3 km/h,#¿NOMBRE?,1015.5 hPa,#¿NOMBRE?
6/12/2018,32,38,22,7.4 km/h,29.6 km/h,1015.5 hPa,#¿NOMBRE?
6/13/2018,31,36,21,14.4 km/h,#¿NOMBRE?,1016.8 hPa,#¿NOMBRE?
6/14/2018,31,34,21,12.1 km/h,31.5 km/h,1017.1 hPa,#¿NOMBRE?
6/15/2018,30,33,24,17.6 km/h,#¿NOMBRE?,1013.9 hPa,#¿NOMBRE?
6/16/2018,26,31,19,15.3 km/h,#¿NOMBRE?,1013.6 hPa,#¿NOMBRE?
6/17/2018,27,32,20,9.9 km/h,#¿NOMBRE?,1016.9 hPa,#¿NOMBRE?
6/18/2018,30,35,18,9.1 km/h,#¿NOMBRE?,1017.5 hPa,#¿NOMBRE?
6/19/2018,32,37,21,11.5 km/h,#¿NOMBRE?,1016.3 hPa,#¿NOMBRE?
6/20/2018,32,38,21,11.6 km/h,29.6 km/h,1015.4 hPa,#¿NOMBRE?
6/21/2018,32,38,22,13.4 km/h,#¿NOMBRE?,1017.3 hPa,#¿NOMBRE?
